id,firstname,lastname,email,score,date_of_birth,university
281,Kylynn,Wyn,Kylynn.Wyn@mymail.com,6.14,1900-08-24,University of Utah (Incheon campus)
282,Katuscha,Thema,Katuscha.Thema@mymail.com,7.55,2019-06-23,Franklin University Switzerland
283,Ermengarde,Nea,Ermengarde.Nea@mymail.com,8.38,2002-04-13,Lebanese American University
284,Lynde,Bonilla,Lynde.Bonilla@mymail.com,7.37,2003-04-08,American University of Armenia
285,Tressa,Ariella,Tressa.Ariella@mymail.com,7.09,1989-01-30,New York University (Abu Dhabi campus)
286,Adelle,Linskey,Adelle.Linskey@mymail.com,9.68,1907-11-04,University of Utah (Incheon campus)
287,Bibby,Rhu,Bibby.Rhu@mymail.com,6.69,1916-02-10,McDaniel College Budapest
288,Shauna,Monk,Shauna.Monk@mymail.com,9.28,1927-05-02,Rochester Institute of Technology (Dubai campus)
289,Alexine,Cordi,Alexine.Cordi@mymail.com,1.69,1978-12-31,Hult International Business School
290,Millie,Koziara,Millie.Koziara@mymail.com,7.97,1949-02-12,Kean University (Wenzhou campus)
291,Clarice,Manolo,Clarice.Manolo@mymail.com,9.49,1984-02-13,Hellenic American University
292,Monika,Annabella,Monika.Annabella@mymail.com,3.57,1998-01-20,New York University (Buenos Aires campus)
293,Sharlene,Ortrude,Sharlene.Ortrude@mymail.com,1.66,1937-08-16,American University in Bulgaria
294,Ardenia,Jethro,Ardenia.Jethro@mymail.com,9.6,1968-06-16,Hellenic American University
295,Sabina,Holbrook,Sabina.Holbrook@mymail.com,9.66,1957-03-05,University of Maryland Global Campus
296,Pamella,Grobe,Pamella.Grobe@mymail.com,3.65,1982-04-02,New York University (Florence campus)
297,Delilah,Marden,Delilah.Marden@mymail.com,7.8,2010-07-09,American University of Antigua
298,Etta,Cynar,Etta.Cynar@mymail.com,5.55,2010-12-20,The American University in Cairo
299,Britni,Armanda,Britni.Armanda@mymail.com,2.1,1973-03-03,Girne American University
300,Shaylyn,Dom,Shaylyn.Dom@mymail.com,1.69,1929-10-23,McDaniel College Budapest
301,Petronia,Isidore,Petronia.Isidore@mymail.com,10.66,1946-01-10,Rochester Institute of Technology (Dubai campus)
302,Flo,Anastatius,Flo.Anastatius@mymail.com,6.58,1974-12-04,Temple University (Rome campus)
303,Joeann,Even,Joeann.Even@mymail.com,7.91,1948-01-21,The American University in Cairo
304,Lynnea,Bigner,Lynnea.Bigner@mymail.com,2.52,1969-03-20,New York University (Buenos Aires campus)
305,Rhoda,Vanni,Rhoda.Vanni@mymail.com,10.66,1908-07-19,American College Dublin
306,Myrtice,Kristi,Myrtice.Kristi@mymail.com,7.19,1996-05-05,Hellenic American University
307,Nessie,Moina,Nessie.Moina@mymail.com,3.15,1908-03-08,American University in Bosnia and Herzegovina
308,Oona,Ciapas,Oona.Ciapas@mymail.com,3.81,1939-03-06,American University of Nigeria
309,Constance,Swanhildas,Constance.Swanhildas@mymail.com,4.91,2016-09-07,Webster University Geneva (Geneva campus)
310,Georgina,Kannry,Georgina.Kannry@mymail.com,9.46,1969-04-29,Temple University (Rome campus)
311,Natka,Roche,Natka.Roche@mymail.com,6.72,1960-01-16,American University of Nigeria
312,Elie,Delp,Elie.Delp@mymail.com,9.99,1916-12-05,Lakeland University (Japan campus)
313,Ofilia,Curren,Ofilia.Curren@mymail.com,5.17,2007-09-16,American University of Nigeria
314,Althea,Payson,Althea.Payson@mymail.com,6.05,2014-03-14,Lakeland University (Japan campus)
315,Althea,Johanna,Althea.Johanna@mymail.com,7.34,2008-03-27,Saint Louis University (Madrid campus)
316,Brooks,Trey,Brooks.Trey@mymail.com,2.53,2017-09-08,American University in Bosnia and Herzegovina
317,Consuela,Macey,Consuela.Macey@mymail.com,7.73,1981-09-15,Lebanese American University
318,Julieta,Odysseus,Julieta.Odysseus@mymail.com,9.05,1913-05-26,McDaniel College Budapest
319,Alyda,Sperling,Alyda.Sperling@mymail.com,2.99,1973-03-24,American University in Dubai
320,Stephanie,Blisse,Stephanie.Blisse@mymail.com,6.79,1904-08-09,New York University (Abu Dhabi campus)
321,Sissy,Garlinda,Sissy.Garlinda@mymail.com,4.27,1909-06-28,American College of Thessaloniki (ACT)
322,Sara-Ann,Hunfredo,Sara-Ann.Hunfredo@mymail.com,9.79,1956-09-29,Lebanese American University
323,Daphne,Primalia,Daphne.Primalia@mymail.com,1.28,1918-08-26,George Mason University (Incheon campus)
324,Inga,Shaver,Inga.Shaver@mymail.com,6.75,2007-04-28,American University of Armenia
325,Helena,Raimondo,Helena.Raimondo@mymail.com,7.71,1961-03-24,American College Dublin
326,Dotty,Kelula,Dotty.Kelula@mymail.com,2.74,1949-10-07,Richmond The American International University in London
327,Jackie,Japeth,Jackie.Japeth@mymail.com,9.04,1911-04-30,The American University in Cairo
328,Kathy,Gavrila,Kathy.Gavrila@mymail.com,2.15,1910-12-01,John Cabot University
329,Oona,Hortensia,Oona.Hortensia@mymail.com,4.02,1929-06-07,American University of Beirut
330,Winny,Weinreb,Winny.Weinreb@mymail.com,5.25,1953-04-03,American University of Beirut
331,Kristan,Ackerley,Kristan.Ackerley@mymail.com,1.22,2010-02-08,Temple University (Rome campus)
332,Edith,Seumas,Edith.Seumas@mymail.com,9.76,2000-01-11,American College of Greece
333,Elbertina,Eachern,Elbertina.Eachern@mymail.com,2.19,1996-12-13,American University of Rome
334,Amelia,Delila,Amelia.Delila@mymail.com,6.41,1921-01-09,St. John's University (Italy campus)
335,Tierney,Genna,Tierney.Genna@mymail.com,5.77,1999-06-07,Franklin University Switzerland
336,Ana,Kamaria,Ana.Kamaria@mymail.com,10.5,1935-05-28,Saint Louis University (Madrid campus)
337,Addia,Ummersen,Addia.Ummersen@mymail.com,4.81,1953-04-11,Temple University (Rome campus)
338,Elvira,Peti,Elvira.Peti@mymail.com,1.75,1952-03-06,Rochester Institute of Technology (Dubai campus)
339,Jasmina,Wiener,Jasmina.Wiener@mymail.com,10.28,1998-11-13,Saint Louis University (Madrid campus)
340,Jenilee,Urania,Jenilee.Urania@mymail.com,5.76,1903-12-20,The American University in Cairo
341,Elka,Fancie,Elka.Fancie@mymail.com,8.92,1908-10-11,Central European University
342,Ariela,Karna,Ariela.Karna@mymail.com,4.49,2002-04-04,RIT Kosovo / American University in Kosovo
343,Carly,Sabella,Carly.Sabella@mymail.com,3.68,1944-06-17,American InterContinental University
344,Rhoda,Hashim,Rhoda.Hashim@mymail.com,3.62,1954-04-30,Keiser University (Latin American campus)
345,Mureil,Paine,Mureil.Paine@mymail.com,7.85,1957-11-27,American University in Dubai
346,Gabriellia,Kunin,Gabriellia.Kunin@mymail.com,5.32,1963-03-07,Temple University (Japan campus)
347,Basia,Blase,Basia.Blase@mymail.com,9.46,1935-12-24,Keiser University (Latin American campus)
348,Eugine,Waldron,Eugine.Waldron@mymail.com,1.25,1932-06-08,American University in Dubai
349,Kirbee,Riordan,Kirbee.Riordan@mymail.com,5.38,1951-02-14,American University of Nigeria
350,Blinni,Ashok,Blinni.Ashok@mymail.com,8.15,1964-12-20,RIT Kosovo / American University in Kosovo
351,Kalina,Anderea,Kalina.Anderea@mymail.com,6.66,1966-03-19,American University in Bosnia and Herzegovina
352,Alyssa,Armanda,Alyssa.Armanda@mymail.com,8.09,1923-06-25,RIT Kosovo / American University in Kosovo
353,Tani,Saint,Tani.Saint@mymail.com,3.24,1973-08-15,American University of Beirut
354,Raina,Gordon,Raina.Gordon@mymail.com,6.85,1900-04-12,New York University (Abu Dhabi campus)
355,Dorthy,Swigart,Dorthy.Swigart@mymail.com,3.26,1953-08-28,University of Maryland Global Campus
356,Lolita,Burnside,Lolita.Burnside@mymail.com,10.53,1934-08-26,Webster University Geneva (Geneva campus)
357,Noelle,Hachmin,Noelle.Hachmin@mymail.com,7.92,2011-02-28,American University in Dubai
358,Fred,Curren,Fred.Curren@mymail.com,6.6,1945-05-21,American University in Dubai
359,Ninnetta,Nance,Ninnetta.Nance@mymail.com,1.58,1995-06-27,New York University (Buenos Aires campus)
360,Luci,Lilas,Luci.Lilas@mymail.com,7.48,1912-04-21,The American University in Cairo
361,Genovera,Kinnard,Genovera.Kinnard@mymail.com,7.62,1989-07-13,St. John's University (Italy campus)
362,Tomasina,Eugenia,Tomasina.Eugenia@mymail.com,8.38,1901-07-26,Keiser University (Latin American campus)
363,Wileen,Colyer,Wileen.Colyer@mymail.com,7.54,1911-10-06,American University of Beirut
364,Rani,Elvyn,Rani.Elvyn@mymail.com,9.25,2006-12-21,American College of Greece
365,Belva,Autrey,Belva.Autrey@mymail.com,8.43,1958-11-26,Rochester Institute of Technology (Dubai campus)
366,Orelia,Fleeta,Orelia.Fleeta@mymail.com,1.28,1998-07-05,Girne American University
367,Frank,Irmine,Frank.Irmine@mymail.com,9.4,1904-10-13,American InterContinental University
368,Laurene,Erminia,Laurene.Erminia@mymail.com,4.79,1990-06-06,The American University in Cairo
369,Caressa,Taam,Caressa.Taam@mymail.com,3.64,1979-06-12,Temple University (Rome campus)
370,Josephine,Anderea,Josephine.Anderea@mymail.com,7.74,1975-12-16,RIT Kosovo / American University in Kosovo
371,Dede,Linskey,Dede.Linskey@mymail.com,3.47,1939-03-24,American InterContinental University
372,Nollie,Lilybelle,Nollie.Lilybelle@mymail.com,6.03,1982-04-18,American University in Bulgaria
373,Corene,Loring,Corene.Loring@mymail.com,4.54,1986-01-30,New York University (Abu Dhabi campus)
374,Kaia,Desai,Kaia.Desai@mymail.com,3.35,1911-11-12,Girne American University
375,Shauna,Donell,Shauna.Donell@mymail.com,6.53,1903-01-31,Franklin University Switzerland
376,Rani,Bearnard,Rani.Bearnard@mymail.com,8.39,1925-11-30,Schiller International University
377,Rosaline,Astra,Rosaline.Astra@mymail.com,9.5,1943-11-09,University of Utah (Incheon campus)
378,Sissy,Neva,Sissy.Neva@mymail.com,8.58,1908-09-10,Lebanese American University
379,Alyda,Bashemeth,Alyda.Bashemeth@mymail.com,5.54,1959-02-07,American University in Bulgaria
380,Barbi,Fennessy,Barbi.Fennessy@mymail.com,2.7,1908-06-13,RIT Kosovo / American University in Kosovo
381,Audrie,Salchunas,Audrie.Salchunas@mymail.com,3.03,1974-04-03,Franklin University Switzerland
382,Sherrie,Hedve,Sherrie.Hedve@mymail.com,4.86,1970-08-03,New York University (Abu Dhabi campus)
383,Heddie,Lunsford,Heddie.Lunsford@mymail.com,3.54,1903-12-14,The American University in Cairo
384,Jeanna,Leary,Jeanna.Leary@mymail.com,2.43,1903-05-26,Schiller International University
385,Miquela,Harned,Miquela.Harned@mymail.com,1.23,1929-08-20,American University of Antigua
386,Frieda,Candy,Frieda.Candy@mymail.com,1.93,1913-10-08,George Mason University (Incheon campus)
387,Halette,Schwejda,Halette.Schwejda@mymail.com,3.84,2004-07-18,Hult International Business School
388,Fawne,Anis,Fawne.Anis@mymail.com,2.81,2014-02-06,American University of Antigua
389,Marcy,Aprile,Marcy.Aprile@mymail.com,5.12,1968-01-20,Kean University (Wenzhou campus)
390,Corene,Khorma,Corene.Khorma@mymail.com,5.04,1986-09-09,Saint Louis University (Madrid campus)
391,Cissiee,Harl,Cissiee.Harl@mymail.com,9.92,1928-08-17,American University of Antigua
392,Calla,Salchunas,Calla.Salchunas@mymail.com,8.2,2015-01-21,American University in Bulgaria
393,Harrietta,Santoro,Harrietta.Santoro@mymail.com,4.45,1994-10-02,American University in Bosnia and Herzegovina
394,Atlanta,Ellord,Atlanta.Ellord@mymail.com,10.44,1948-05-06,Temple University (Rome campus)
395,Tami,Bultman,Tami.Bultman@mymail.com,4.81,2001-07-30,American InterContinental University
396,Maisey,Nikaniki,Maisey.Nikaniki@mymail.com,2.02,1936-10-04,New York University (Buenos Aires campus)
397,Debee,Hollingsworth,Debee.Hollingsworth@mymail.com,8.34,1981-09-08,Lebanese American University
398,Gwyneth,Argus,Gwyneth.Argus@mymail.com,10.99,1987-03-03,American College of Greece
399,Roxane,Darbie,Roxane.Darbie@mymail.com,8.79,1967-07-04,United States International University
400,Lucy,Nahum,Lucy.Nahum@mymail.com,3.75,1901-03-24,St. John's University (Italy campus)
401,Donnie,Abram,Donnie.Abram@mymail.com,5.59,1911-05-17,Central European University
402,Lorie,Ciapas,Lorie.Ciapas@mymail.com,3,2008-08-20,American University of Antigua
403,Eugine,Juliet,Eugine.Juliet@mymail.com,6.06,1973-05-19,University of Maryland Global Campus
404,Dennie,Mike,Dennie.Mike@mymail.com,6.19,1911-01-01,McDaniel College Budapest
405,Gretal,Ioab,Gretal.Ioab@mymail.com,8.66,2000-06-22,John Cabot University
406,Ulrike,Stacy,Ulrike.Stacy@mymail.com,1.78,1923-04-08,American InterContinental University
407,Danika,Rurik,Danika.Rurik@mymail.com,10.94,1959-04-23,American College Dublin
408,Viviene,Mozelle,Viviene.Mozelle@mymail.com,3.16,1990-04-06,Girne American University
409,Edee,Rooney,Edee.Rooney@mymail.com,9.63,1934-02-19,American College Dublin
410,Moyna,Payson,Moyna.Payson@mymail.com,2.91,1984-10-21,American University in Bosnia and Herzegovina
411,Marinna,Malanie,Marinna.Malanie@mymail.com,10.92,1936-06-25,University of Utah (Incheon campus)
412,Tamqrah,Holtz,Tamqrah.Holtz@mymail.com,1.74,1971-05-27,New York University (Florence campus)
413,Brandise,Thad,Brandise.Thad@mymail.com,2.45,1907-09-23,American University in Dubai
414,Atlanta,O'Rourke,Atlanta.O'Rourke@mymail.com,10.49,1923-03-25,American University in Bosnia and Herzegovina
415,Abbie,Mintz,Abbie.Mintz@mymail.com,5.58,1945-02-28,Saint Louis University (Madrid campus)
416,Cherrita,Maribeth,Cherrita.Maribeth@mymail.com,8.95,1945-09-04,American College of Thessaloniki (ACT)
417,Averyl,Faso,Averyl.Faso@mymail.com,6.33,1962-06-23,Franklin University Switzerland
418,Raquela,Chrystel,Raquela.Chrystel@mymail.com,1.62,1990-02-14,Girne American University
419,Bernardine,Valoniah,Bernardine.Valoniah@mymail.com,2.25,1903-11-03,Lebanese American University
420,Augustine,Bearnard,Augustine.Bearnard@mymail.com,8.05,1934-02-28,Lakeland University (Japan campus)
421,Berta,Deegan,Berta.Deegan@mymail.com,2.75,1903-09-25,American InterContinental University
422,Kalina,Lail,Kalina.Lail@mymail.com,9.28,1985-01-01,St. John's University (Paris campus)
423,Renie,Pozzy,Renie.Pozzy@mymail.com,7.58,1937-01-09,Hult International Business School
424,Jennica,Adamsen,Jennica.Adamsen@mymail.com,10.57,1949-08-25,Franklin University Switzerland
425,Kellen,Aldric,Kellen.Aldric@mymail.com,3.72,1934-09-26,Lebanese American University
426,Heddie,Bates,Heddie.Bates@mymail.com,2.94,1920-11-01,American University of Antigua
427,Kara-Lynn,Clarissa,Kara-Lynn.Clarissa@mymail.com,1.28,1934-05-28,Saint Louis University (Madrid campus)
428,Gwenneth,Malina,Gwenneth.Malina@mymail.com,9.19,1924-01-31,Franklin University Switzerland
429,Veda,Leonard,Veda.Leonard@mymail.com,1.43,1978-03-16,St. John's University (Italy campus)
430,Hope,Amand,Hope.Amand@mymail.com,1.19,1994-07-24,American College Dublin
431,Selma,Bebe,Selma.Bebe@mymail.com,8.46,1970-02-15,McDaniel College Budapest
432,Misha,Drus,Misha.Drus@mymail.com,6.36,1928-06-13,American University in Bulgaria
433,Kathi,Bohlin,Kathi.Bohlin@mymail.com,2.61,2011-05-03,American University of Nigeria
434,Deloria,Jaylene,Deloria.Jaylene@mymail.com,3.47,1907-06-01,Lebanese American University
435,Gui,Vanni,Gui.Vanni@mymail.com,1.97,1983-04-01,Rochester Institute of Technology (Dubai campus)
436,Sybille,Glovsky,Sybille.Glovsky@mymail.com,2.61,1940-07-25,American University in Bosnia and Herzegovina
437,Caritta,Brodench,Caritta.Brodench@mymail.com,10.86,2017-01-16,American University of Paris
438,Sara-Ann,Alva,Sara-Ann.Alva@mymail.com,6.9,1979-02-21,Hellenic American University
439,Bobinette,Paine,Bobinette.Paine@mymail.com,10.76,1989-04-29,Girne American University
440,Ottilie,Dituri,Ottilie.Dituri@mymail.com,3.31,1955-05-19,Keiser University (Latin American campus)
441,Maisey,Giff,Maisey.Giff@mymail.com,5.13,1967-01-06,American University in Bulgaria
442,Joy,Whiffen,Joy.Whiffen@mymail.com,2.95,1924-01-02,Lebanese American University
443,Noelle,Zina,Noelle.Zina@mymail.com,6.76,1900-05-06,McDaniel College Budapest
444,Gilligan,Avi,Gilligan.Avi@mymail.com,7.9,1950-12-16,Central European University
445,Meg,Slifka,Meg.Slifka@mymail.com,2.2,1925-10-26,Stony Brook University (Korea campus)
446,Shannah,Hepsibah,Shannah.Hepsibah@mymail.com,6.67,1985-10-07,St. John's University (Paris campus)
447,Gabi,Burch,Gabi.Burch@mymail.com,8.75,2002-04-23,Temple University (Japan campus)
448,Micheline,Rocray,Micheline.Rocray@mymail.com,3,1935-02-03,Webster University Geneva (Geneva campus)
449,Julieta,Anis,Julieta.Anis@mymail.com,4.05,1994-05-10,University of Utah (Incheon campus)
450,Robinia,Zeeba,Robinia.Zeeba@mymail.com,8.79,1906-10-25,George Mason University (Incheon campus)
451,Cecile,Quinn,Cecile.Quinn@mymail.com,6.68,1995-07-29,Richmond The American International University in London
452,Emilia,Wildermuth,Emilia.Wildermuth@mymail.com,10.08,1934-05-24,New York University (Abu Dhabi campus)
453,Michaelina,Mullane,Michaelina.Mullane@mymail.com,3.53,1908-07-01,Webster University Geneva (Geneva campus)
454,Ann-Marie,Martsen,Ann-Marie.Martsen@mymail.com,1.89,2007-05-12,The American University in Cairo
455,Bee,Corabella,Bee.Corabella@mymail.com,7.19,1902-03-24,RIT Kosovo / American University in Kosovo
456,Pamella,Bebe,Pamella.Bebe@mymail.com,9.78,1963-05-17,Hellenic American University
457,Tami,Kravits,Tami.Kravits@mymail.com,7.7,1959-09-05,John Cabot University
458,Marleah,Evangelia,Marleah.Evangelia@mymail.com,10.25,2013-11-09,United States International University
459,Elora,Therine,Elora.Therine@mymail.com,4.15,2005-01-04,University of Utah (Incheon campus)
460,Emma,Richers,Emma.Richers@mymail.com,6.31,2015-01-22,St. John's University (Italy campus)
461,Desirae,Waldron,Desirae.Waldron@mymail.com,6.8,1942-11-08,Richmond The American International University in London
462,Correy,Kiyoshi,Correy.Kiyoshi@mymail.com,10.07,1952-04-19,American University of Armenia
463,Dolli,Vary,Dolli.Vary@mymail.com,9.54,1965-10-27,New York University (Florence campus)
464,Ofilia,Sundin,Ofilia.Sundin@mymail.com,5.98,1965-12-20,New York University (Buenos Aires campus)
465,Vonny,Bultman,Vonny.Bultman@mymail.com,6.24,1947-10-19,Franklin University Switzerland
466,Jinny,Allys,Jinny.Allys@mymail.com,3.92,1971-06-01,Hult International Business School
467,Sheelagh,Jary,Sheelagh.Jary@mymail.com,7.94,1990-06-02,Girne American University
468,Giustina,Daegal,Giustina.Daegal@mymail.com,7.06,1985-02-11,University of Maryland Global Campus
469,Natka,Gunn,Natka.Gunn@mymail.com,3.84,1916-03-21,American University in Dubai
470,Amara,Alisia,Amara.Alisia@mymail.com,5.52,1922-05-16,Temple University (Japan campus)
471,Teriann,Danby,Teriann.Danby@mymail.com,1.88,1906-12-20,St. John's University (Paris campus)
472,Fawne,Edison,Fawne.Edison@mymail.com,10.82,1977-12-29,New York University (Florence campus)
473,Cyndie,Vivle,Cyndie.Vivle@mymail.com,9.68,1925-08-13,American University of Nigeria
474,Rosaline,Elephus,Rosaline.Elephus@mymail.com,10.45,2002-05-18,John Cabot University
475,Glynnis,Kosey,Glynnis.Kosey@mymail.com,10.95,1957-04-21,Rochester Institute of Technology (Dubai campus)
476,Annora,LaRue,Annora.LaRue@mymail.com,10.16,1975-10-13,Temple University (Rome campus)
477,Feliza,Catie,Feliza.Catie@mymail.com,4.47,1908-01-03,Lakeland University (Japan campus)
478,Sindee,Baptlsta,Sindee.Baptlsta@mymail.com,7.35,1939-12-24,American InterContinental University
479,Korrie,Brodench,Korrie.Brodench@mymail.com,2.35,1946-11-16,American College Dublin
480,Dominga,Lowry,Dominga.Lowry@mymail.com,7.3,2017-11-24,Temple University (Japan campus)
481,Vanessa,Reneta,Vanessa.Reneta@mymail.com,5.78,1967-01-10,New York University (Abu Dhabi campus)
